latitud,longitud,cost
41.8543813061,-87.6845431346,15
41.8529201042,-87.7016798048,15
41.920325857,-87.7118040312,15
41.8549227753,-87.68290056,15
41.8511026708,-87.7034395798,15
41.8529671755,-87.7036411246,15
41.8281103251,-87.6180764071,15
41.8529322975,-87.7036714432,15
41.8552514829,-87.6832798255,15
41.8537166283,-87.6832625217,15
41.8531911286,-87.682631096,15
41.853236455,-87.6844447607,15
41.8523047472,-87.702362564,15
41.932449517,-87.7152813804,15
41.8515610343,-87.7014611493,15
41.7345285984,-87.5888192779,16
41.7357624657,-87.5872904508,16
42.0484878917,-87.6887161343,17
42.0115456203,-87.6649530808,19
41.9324782199,-87.6912388872,20
41.8511297799,-87.7021300994,20
42.0153700709,-87.6870756286,20
41.7381500578,-87.5639423675,20
41.7377418083,-87.5653210045,20
41.9504194884,-87.760445995,20
41.8406271409,-87.6494066118,20
41.7378077001,-87.5649814191,20
41.9511849976,-87.7814765041,20
41.7397440879,-87.5648775427,20
41.8522557519,-87.7036337609,20
41.857189172,-87.6934714634,20
41.7377233442,-87.5636635949,20
41.7975072706,-87.5875147415,20
41.7528231365,-87.5620127955,20
41.7398836922,-87.5634948455,20
41.9432035273,-87.7065627567,20
41.9106100936,-87.6772447778,21
41.8564834384,-87.6630819889,22
41.9509876277,-87.7814899901,22
41.9953352402,-87.7025030671,22
41.8562444568,-87.6600535175,22
41.854650926,-87.6596382367,22
41.8379866124,-87.6534745774,22
41.85506469,-87.6588670989,22
41.9972866917,-87.7033613726,22
42.0052538302,-87.6667553383,23
41.8543225509,-87.6707329364,23
41.9506179272,-87.7808260586,24
41.8558194315,-87.6724293851,24
41.8428990708,-87.6489797354,24
41.8936236424,-87.7787772421,25
41.8563602637,-87.671964689,25
42.015897818,-87.688268303,25
41.9700769775,-87.6830268173,25
41.7973410435,-87.5951151402,25
41.9461691356,-87.6547179824,25
41.8568530279,-87.6718102799,25
42.0170133852,-87.6871826299,25
41.8673218578,-87.6452634903,25
41.6880005845,-87.6731924797,25
42.0171392803,-87.6880811521,25
41.9441831856,-87.6698760947,25
41.8810785014,-87.7900835255,25
42.015754565,-87.6867773997,25
41.8811593066,-87.7940481392,25
41.7624600196,-87.5664557709,25
41.8814783054,-87.6425011877,25
41.7951054925,-87.6812565716,25
41.8946380212,-87.6737446693,25
41.9487979224,-87.7814462987,25
41.68994916,-87.671137065,25
41.8550560959,-87.671984333,25
41.9317891449,-87.7224381333,25
41.9727062602,-87.6566529858,25
41.8728989218,-87.778913087,25
42.0212668263,-87.6667148087,25
41.856982443,-87.6715306763,25
41.799671513,-87.6030684921,26
41.9071432136,-87.8052699503,26
41.9465553328,-87.6550865904,27
41.9466187754,-87.6554067992,27
41.9451225002,-87.6548175125,27
42.0065751421,-87.6817808157,27
41.7945987445,-87.5954488264,27
42.0075317923,-87.6817299122,27
41.946247229,-87.6553797446,27
41.8647392467,-87.6848799768,28
41.8524076842,-87.6923336629,28
41.9206281039,-87.7109388403,28
41.8700634258,-87.6866898057,28
41.9584723567,-87.7432564341,28
41.8534186769,-87.6668430625,28
41.8639804719,-87.6830219774,28
41.8976749976,-87.6632742046,28
41.95247065,-87.6549754287,28
41.8302612931,-87.6784744363,29
41.9294869404,-87.6413710218,29
41.9489925991,-87.7810515991,29
41.7914346676,-87.5938766868,29
41.836773606,-87.6486467205,29
41.8723705808,-87.7797562471,29
41.8728239138,-87.7973502118,29
41.8376635009,-87.6504393782,29
41.8060670964,-87.6206858724,29
41.9495066139,-87.7808078161,29
41.8020629444,-87.5922109113,29
41.961919301,-87.7357645907,29
42.0096515832,-87.6975263805,29
41.9497646331,-87.7808340548,29
41.9336121894,-87.7197664634,29
41.8008923503,-87.5984041573,29
41.9119299475,-87.6958211107,30
42.0156219887,-87.68818364,30
42.0153826334,-87.6887610269,30
41.9322088572,-87.7206641626,30
41.9425568135,-87.6464772027,30
42.0174063651,-87.6723260668,30
41.8044028041,-87.5855424602,30
41.7401304994,-87.5513471248,30
41.8474065193,-87.6905115825,30
41.9161366397,-87.7262610907,30
41.9337103879,-87.7208096018,30
41.7953566081,-87.5921920717,30
42.0014809121,-87.6714896888,30
41.8848517312,-87.7744535066,30
41.899612173,-87.6875398509,30
41.9604903456,-87.6555358457,30
41.9839393394,-87.7136976156,30
42.0215565258,-87.6714775343,30
41.8336857827,-87.6137772402,30
41.899612173,-87.6875398509,30
41.9337103879,-87.7208096018,30
42.0045292004,-87.6649803735,30
41.9105569869,-87.6776787959,30
41.9604903456,-87.6555358457,30
41.8538695413,-87.6545211849,30
41.8984770844,-87.6698131352,30
41.7646877576,-87.572148398,30
41.8814465042,-87.6959574422,30
41.9055352916,-87.6886222941,30
41.8512452048,-87.7019038728,30
41.8680502124,-87.6592630047,30
42.0171025093,-87.6884700204,30
41.8814465042,-87.6959574422,30
41.8984770844,-87.6698131352,30
41.916996894,-87.7070196399,30
42.0215565258,-87.6714775343,30
41.8844846387,-87.7740995855,30
41.8586508514,-87.6945131713,30
41.9435710607,-87.7254891385,30
41.9055352916,-87.6886222941,30
41.9576689311,-87.7327515037,30
41.8336857827,-87.6137772402,30
41.7943940859,-87.6801694855,30
41.9103129277,-87.6292863097,30
41.9105569869,-87.6776787959,30
42.0277918632,-87.6840540291,30
41.9764300362,-87.6988411816,30
41.7944871449,-87.5917738178,30
42.0169003105,-87.6890484321,30
41.8853790964,-87.7748677583,31
41.9331317628,-87.7041159144,31
41.9265828296,-87.7721715582,31
42.0172398939,-87.682357006,33
41.9462179439,-87.6443761937,34
41.7838408034,-87.72759176,34
41.8350412262,-87.6416102199,34
41.8520994674,-87.705065986,34
41.8539044125,-87.674794814,35
41.8546188294,-87.6724183432,35
41.9550037159,-87.6501692427,35
41.8831762382,-87.6956104145,35
41.7914669062,-87.6971103529,35
41.7948629849,-87.5838548876,35
41.8737128289,-87.6487025331,35
41.8499751083,-87.6762332652,35
41.923962128,-87.7698938657,35
41.896093572,-87.6206006685,35
41.9968642155,-87.8082845832,35
41.9274498725,-87.7246038208,35
42.0209669648,-87.6738025892,35
41.9301712198,-87.7188413786,35
41.9325062573,-87.7211826243,35
41.8522879261,-87.7032889646,35
41.8777854242,-87.7051330463,35
41.8770460692,-87.6530292981,35
41.874958315,-87.6509477813,35
41.9306612888,-87.7179391474,35
41.9516848249,-87.6797710674,35
41.922619922,-87.7098890889,35
41.8593303905,-87.6570068535,35
41.8743629706,-87.6499325497,35
41.9972999187,-87.6614124912,35
41.8787520024,-87.6484767004,35
41.8342050537,-87.6380749785,36
41.8529475345,-87.7002606306,36
41.8241746247,-87.6437509389,36
41.9104932897,-87.7040468074,36
41.8797810662,-87.6253237255,36
41.883271385,-87.709079977,36
41.8797810662,-87.6253237255,36
41.9397990897,-87.6493735715,36
41.9323481981,-87.7204540674,36
41.851979937,-87.6740328128,37
41.8328215658,-87.641542897,37
41.8581827898,-87.6627989544,37
41.8840591767,-87.7091194801,37
41.850436948,-87.6835344432,38
41.8341182596,-87.638956707,38
41.8568908972,-87.6705110997,38
41.8407985956,-87.7149814462,38
41.8341182596,-87.638956707,38
41.8281026157,-87.6210386234,39
42.0173925168,-87.6827376051,39
41.8287611328,-87.6203791032,39
41.8548538706,-87.6743529629,39
41.8019095742,-87.5957456378,39
41.9058884916,-87.6897931817,39
41.8541407399,-87.673887932,39
41.8427754459,-87.6174539794,39
41.8298304665,-87.6198863754,39
41.9801945859,-87.7146302643,39
41.9615656983,-87.7053790912,39
41.9852639887,-87.7175236986,39
41.8775311035,-87.7774799543,39
41.9481639108,-87.6517219229,39
41.9352379965,-87.7124790182,39
41.8562502139,-87.673416535,39
41.9558643681,-87.7088821829,39
41.8283494727,-87.6191393059,39
41.8552265542,-87.6510449429,39
41.8782950179,-87.6816913726,39
41.985351195,-87.7751800245,40
41.9215209051,-87.7212494714,40
41.8990722269,-87.6808496783,40
41.9220432279,-87.7160611686,40
41.9104131713,-87.7032847921,40
41.9563178199,-87.719898067,40
41.8576053506,-87.6799664496,40
42.0143579626,-87.6677062202,40
41.7958545693,-87.596986057,40
41.8701659653,-87.651923928,40
41.9362739834,-87.6805558727,40
41.9065280682,-87.6955563454,40
41.7958809786,-87.5840413681,40
41.959973686,-87.705627115,40
41.9391226425,-87.7181343969,40
41.8015656301,-87.5970516455,40
41.8723122565,-87.7141992614,40
41.9502808643,-87.6576911655,40
41.8842511751,-87.7088547164,40
41.8992108374,-87.6736042961,40
41.7845077102,-87.5974309612,40
42.0213883042,-87.6736321787,40
41.877277337,-87.7738034111,40
41.927685728,-87.7000305552,40
41.9553875186,-87.7541660438,40
42.0057466133,-87.6700854261,40
41.8839112371,-87.6267707238,40
41.9433240187,-87.6493178462,40
41.9010142797,-87.7060074492,41
41.8487695382,-87.6854373072,41
41.8544428996,-87.6925311371,41
41.7772442968,-87.5976175603,41
41.7990539121,-87.5847255155,42
41.9261166984,-87.6966878789,42
42.0023059595,-87.6571363695,42
41.9637625434,-87.7846279033,42
41.9369236729,-87.7714444669,42
41.9593510234,-87.6796345053,42
41.9967294568,-87.6625953813,42
41.8882569452,-87.6192733816,43
41.982548668,-87.7889932112,43
41.982548668,-87.7889932112,43
41.7992495843,-87.5846098025,43
41.945988965,-87.7336096828,43
41.8765479167,-87.681978777,44
41.9776976599,-87.6889637653,44
41.9113897361,-87.7040400555,44
41.998107349,-87.6648229222,44
41.8732978349,-87.6856060845,45
41.8660164179,-87.6232709598,45
41.9222065584,-87.6908019827,45
41.9508677777,-87.6603703375,45
41.9357324935,-87.7103803853,45
41.9785926904,-87.6809247747,45
41.9311449772,-87.7187338389,45
41.8418382905,-87.6554301953,45
41.9311449772,-87.7187338389,45
41.933119674,-87.7192506053,45
41.8898959769,-87.6202172999,45
41.8402778956,-87.631448412,45
41.8588555219,-87.623014566,45
41.9318586737,-87.7181993015,45
41.884697107,-87.6206328892,45
41.9357324935,-87.7103803853,45
41.8660164179,-87.6232709598,45
41.8916423808,-87.6738364134,45
41.8732978349,-87.6856060845,45
41.994489029,-87.69215366,45
41.9785926904,-87.6809247747,45
41.7991421594,-87.5907891628,45
41.931534225,-87.717895002,45
41.7991421594,-87.5907891628,45
41.933119674,-87.7192506053,45
41.8918082867,-87.6738602273,45
41.884697107,-87.6206328892,45
41.8588555219,-87.623014566,45
41.9378089219,-87.7020423896,45
41.9497305064,-87.656456032,46
41.9626571523,-87.6516699261,46
41.8064555411,-87.613508305,46
41.80602939,-87.6139197881,47
41.8694292673,-87.6823910269,47
41.8779398155,-87.6246530128,47
41.8628521471,-87.6828742402,49
41.8561292726,-87.6473730287,49
41.8827779419,-87.7092485883,49
41.977080917,-87.6915774132,49
41.8415487499,-87.6488452521,49
41.9219627477,-87.6656380485,49
41.9452028116,-87.667798086,49
41.894034506,-87.6807462292,49
41.951868956,-87.7065252422,49
41.9028930419,-87.7091637284,49
41.9337535253,-87.7106223293,49
41.8715869345,-87.6426566214,49
41.8606071391,-87.6231956075,49
41.8415487499,-87.6488452521,49
41.8093296857,-87.60408351,49
41.9522953082,-87.7207399602,49
41.9297634501,-87.7039170858,50
42.0163689562,-87.6690802967,50
41.7888649009,-87.5867089096,50
41.9618493863,-87.7399391487,50
41.9391501903,-87.6551613331,50
41.8770222509,-87.7903744995,50
41.8769702083,-87.628207258,50
41.8351469052,-87.6370944581,50
41.8994285114,-87.6943646739,50
41.9459553176,-87.6862310809,50
41.9745724897,-87.675888753,50
41.8976149497,-87.6660457052,50
42.0064589324,-87.6635293432,50
41.9580876755,-87.6521042309,50
41.9289823277,-87.7039553052,50
41.8880517182,-87.6447678424,50
41.8709080646,-87.6514896067,50
41.8769702083,-87.628207258,50
41.9992025489,-87.6720880355,50
41.9287964806,-87.6500053494,50
41.7839691963,-87.5972099662,50
41.8835472003,-87.6858881213,50
41.9106381665,-87.6929984412,50
41.928528606,-87.726274626,50
41.7963952146,-87.5842976281,50
42.0051696795,-87.6643112331,50
41.8406279451,-87.658187918,50
41.9070259302,-87.6876863208,50
41.9023484741,-87.66584547,51
41.9825419342,-87.6729352947,51
41.77383935,-87.5931063063,51
41.8027045004,-87.5847807965,52
41.8377753895,-87.6347704242,52
41.9463671693,-87.6691863371,52
41.9350602371,-87.6557645176,53
41.9172815533,-87.6798768719,54
41.9430127226,-87.6506413902,54
41.9536452954,-87.6709692336,54
41.8012967938,-87.5859375405,54
41.946648944,-87.655168971,54
41.9217969925,-87.6830366906,54
41.8535350268,-87.6940010709,54
41.8039440805,-87.603916244,55
41.945217538,-87.6481917023,55
41.8869350371,-87.7023002043,55
41.9005969113,-87.6631492376,55
41.9754874633,-87.6667482663,55
41.8124555094,-87.6431882423,55
41.8856461181,-87.7033435505,55
41.9018750316,-87.6347057593,55
41.8574701368,-87.6796202979,55
41.859759094,-87.6245013383,55
41.7764715877,-87.5987442643,55
41.8065351751,-87.6203144066,55
41.8030364771,-87.6213256671,55
41.9408789269,-87.6489261972,55
41.873026763,-87.6887512287,55
41.9239793567,-87.7230888754,55
41.9079336416,-87.6884023468,55
41.9191312289,-87.7110992469,55
41.9376634281,-87.6566690558,55
41.812720979,-87.6221887812,55
41.7769868968,-87.5974213519,55
41.8862158094,-87.7005898258,55
41.9357426821,-87.6622518326,55
41.9609987694,-87.6515859802,55
41.8724099499,-87.6521278348,55
41.8875466083,-87.7019463412,55
41.9560226253,-87.7278085618,55
41.9018199013,-87.6840208038,55
41.9134444728,-87.690307944,55
41.9459842689,-87.7243294329,55
41.9309453187,-87.71357845,56
41.9091873357,-87.6897841468,56
41.9503385308,-87.6551667011,56
41.8984984205,-87.6612018614,57
41.8821807963,-87.7087950126,57
41.9261255234,-87.7134370622,57
41.8380075609,-87.617552921,57
41.8381179507,-87.6523095503,58
41.8285625977,-87.6520794664,58
41.9644558907,-87.6900439898,58
41.8573729125,-87.6727850886,58
41.840065132,-87.7097511106,58
41.9507828937,-87.6595649681,59
41.9099974505,-87.6856492586,59
41.8717608483,-87.653939203,59
41.8956028481,-87.6580903741,59
41.928066965,-87.6957599671,59
41.911312792,-87.6860489371,59
41.9505073877,-87.6580990478,59
41.9779016356,-87.6571333372,59
41.8871723326,-87.707649842,59
41.881425555,-87.6414456188,59
41.7991407271,-87.6002448234,59
41.8692193358,-87.665818127,60
41.8979550884,-87.6999943536,60
41.8362576771,-87.6464347667,60
41.8692404895,-87.6652328022,60
41.8574598802,-87.696321942,60
41.8692404895,-87.6652328022,60
41.9197580971,-87.7006099377,60
41.8304065591,-87.6096340667,60
41.8847790745,-87.6246264152,60
41.8872129713,-87.6171015764,60
41.8688661423,-87.6617446702,60
41.8979550884,-87.6999943536,60
41.8509639456,-87.6784479815,60
41.9265566552,-87.6644206172,60
41.8714311055,-87.6641886264,60
41.9265566552,-87.6644206172,60
41.9333531582,-87.7155143985,60
41.9191864264,-87.7102119472,60
41.9100029453,-87.6841344919,60
41.9840246199,-87.8371733118,60
41.9333531582,-87.7155143985,60
41.8102963371,-87.6244397359,60
41.8932373219,-87.6157926204,60
41.9230685838,-87.6947880019,60
41.9210967166,-87.713411039,60
41.9662262618,-87.6812125961,60
41.9068377687,-87.6897392167,60
41.8505812005,-87.6353613082,60
41.9046294509,-87.6649756897,60
41.8509639456,-87.6784479815,60
41.8991705353,-87.6374066642,60
41.9241195319,-87.7004802305,60
41.8287529036,-87.608256953,60
41.9736814466,-87.6534527438,60
41.8287529036,-87.608256953,60
41.8304065591,-87.6096340667,60
41.8714311055,-87.6641886264,60
41.9955396821,-87.6653394377,60
41.9197580971,-87.7006099377,60
41.9662262618,-87.6812125961,60
41.8818094668,-87.6428647898,60
41.9827235494,-87.6607887477,60
41.8724073433,-87.6633234078,60
41.9100029453,-87.6841344919,60
41.8688624848,-87.6615386781,60
41.8574598802,-87.696321942,60
41.9955396821,-87.6653394377,60
41.8524958578,-87.6178880702,60
41.9275909776,-87.7007648285,60
41.9264950063,-87.6587038397,60
41.8932373219,-87.6157926204,60
41.909001238,-87.6935658264,62
41.8675479233,-87.6787969381,62
41.9327583659,-87.6481451444,63
41.9330943233,-87.6471332233,63
41.873456454,-87.6738297766,63
41.9336162631,-87.7225192252,64
41.8845003459,-87.6244473452,65
41.8814877162,-87.6248603699,65
41.8915066656,-87.67216108,65
41.936914694,-87.7718779069,65
41.9310959159,-87.647769668,65
41.898845319,-87.6656545092,65
41.935138905,-87.6495480084,65
41.9666197502,-87.7619747246,65
41.9014319899,-87.6783579513,65
41.851104982,-87.6673911384,65
41.9791412881,-87.667166267,65
41.8814877162,-87.6248603699,65
41.800654211,-87.5848819678,65
41.8539165243,-87.6757220724,65
41.8546282318,-87.653808687,65
41.8502959516,-87.6323992182,65
41.9561790198,-87.6508804076,65
41.9308114922,-87.7111940554,65
41.9948696424,-87.6546487776,65
41.9013595024,-87.6797339984,65
41.9440623666,-87.6729476078,65
41.9748182968,-87.6598350399,65
41.8926723153,-87.6686874511,65
41.863185148,-87.646795997,65
41.7987869707,-87.5890233965,65
41.9054617309,-87.666237089,65
41.827335229,-87.6187090525,65
42.0145476628,-87.665106659,65
41.9249226158,-87.6443121167,66
41.9757200536,-87.6765951061,66
41.8472076286,-87.6793241412,67
41.96885324,-87.6502778456,67
41.6930532258,-87.6063804582,68
41.6930359526,-87.6076108385,68
41.9063905991,-87.6661303917,68
41.8047254447,-87.5845056416,68
41.8842464109,-87.6978234984,69
41.9003019003,-87.6851958168,69
41.8559819994,-87.6697976339,69
41.850505378,-87.6692984556,69
41.9858988735,-87.6554629018,69
41.8551716683,-87.6619105747,69
41.9548107978,-87.6496348465,69
41.9485071357,-87.6829073655,69
41.8807952311,-87.6412483832,69
41.8649338876,-87.6244002257,69
41.8036754837,-87.5854424723,70
41.9113597824,-87.6829683497,70
41.9038342885,-87.6322452837,70
41.7962619342,-87.600159291,70
41.9009187899,-87.6923796603,70
41.9007139064,-87.6881152768,70
41.9293194225,-87.6413808103,70
41.9125831517,-87.6723820384,70
41.8746818747,-87.6895101751,70
41.8017938278,-87.5986344987,70
41.9340201164,-87.7109287704,70
41.8000158238,-87.5890499582,70
41.9020211927,-87.666308244,70
41.8472345669,-87.7136996412,70
41.9966655901,-87.6621305977,70
41.7971784875,-87.5973471668,70
41.9871071058,-87.6590110794,70
41.8811768046,-87.6411669135,70
41.9302966629,-87.7223254911,70
41.8510474887,-87.6794189065,70
41.8720681922,-87.6288278427,70
41.9094907982,-87.6835626671,70
41.9454114643,-87.6531953675,70
41.9132659269,-87.6740759733,70
41.9035929935,-87.696426788,70
41.8510309747,-87.6995076644,70
41.8745611627,-87.6889168082,70
41.9022725383,-87.679574836,70
41.8308664128,-87.6100521657,70
41.9199435459,-87.6979104066,70
41.9302844422,-87.7226919805,70
41.8322817896,-87.6209552509,70
41.9328991674,-87.724318629,70
41.8006428975,-87.5887872936,70
41.8544619754,-87.6725038048,70
41.9415717005,-87.7065616524,70
41.7931437635,-87.6036144532,71
41.9799367823,-87.6715439538,71
41.9156441023,-87.6879017399,72
41.8575553966,-87.6577465684,72
41.7989899531,-87.5897259223,72
41.9821596438,-87.7993598814,72
41.9932217999,-87.6720462265,72
41.9359857757,-87.6401884761,73
41.7942766815,-87.5926546886,73
41.8930334643,-87.6286943564,74
41.9084289059,-87.6267439007,74
41.90436116,-87.6795341447,74
41.8778321254,-87.781920445,74
41.9080029643,-87.6355890384,75
41.8957067504,-87.6507673713,75
41.9150594175,-87.6876938903,75
41.7993518438,-87.597166777,75
41.9362543367,-87.7124542419,75
41.9301767688,-87.6597761559,75
41.8972723291,-87.7024014075,75
41.8016628898,-87.5953146137,75
41.8864131618,-87.6159698169,75
41.9687284706,-87.6945381991,75
41.8769757372,-87.6504961318,75
41.8703094668,-87.6823018949,75
41.9177779417,-87.7090541523,75
41.8703094668,-87.6823018949,75
41.9053664414,-87.6796483146,75
41.9544750634,-87.7070503224,75
41.9482082099,-87.6482867885,75
41.9223374617,-87.6870032589,75
41.89843748,-87.6279743513,75
41.8129019067,-87.6005097372,75
41.9621557056,-87.6558687971,75
41.8769757372,-87.6504961318,75
41.926448221,-87.7110797845,75
41.8129019067,-87.6005097372,75
41.8864131618,-87.6159698169,75
41.8856940238,-87.6233169685,75
41.9223374617,-87.6870032589,75
41.9395779042,-87.6501551825,75
41.8765056712,-87.6474851877,75
41.8988752198,-87.6208635656,75
41.8846017355,-87.789722669,75
41.9621557056,-87.6558687971,75
41.9513064572,-87.6461822205,75
41.9482082099,-87.6482867885,75
41.8856940238,-87.6233169685,75
41.8765056712,-87.6474851877,75
41.7955718097,-87.7328315684,75
41.9205531796,-87.687434991,75
41.8988752198,-87.6208635656,75
41.9011210858,-87.6652132107,75
41.9544750634,-87.7070503224,75
41.9428255703,-87.6407566143,75
41.9631686805,-87.6768140394,78
41.9719212923,-87.7037514641,78
41.8591748831,-87.6442230616,79
41.9437572849,-87.6516360451,79
41.9176553591,-87.6533716529,79
41.9184950816,-87.6532487945,79
41.9553268718,-87.651634196,79
41.9246860709,-87.709484639,79
41.9369803594,-87.6405796171,79
